"pop" "anc_chr_unit" "rr_mean" "delta_rr" "ratio_rr" "prop_rr"
"27" "LSSPA" 61 5.86858843278722 2.43176131281677 1.70755997550371 0.707559975503706
"28" "LSSPA" 20 4.83653376121601 2.79047555420225 2.36382999498092 1.36382999498092
"29" "LSSPA" 38 4.10934112708621 1.18468794344581 1.40506954809978 0.405069548099785
"30" "LSSPA" 56 7.18335119039221 2.83673794488614 1.65263178126534 0.652631781265338
"31" "LSSPA" 57 6.37985122171818 1.17941361015602 1.22679122378736 0.226791223787365
"32" "LSSPA" 25 12.4097778726177 11.7544142636859 18.9357140120195 17.9357140120195
"33" "LSSPA" 24 1.82245041713111 0.938247977239445 2.06112348813966 1.06112348813966
"34" "LSSPA" 40 4.03894754311724 2.12390028887659 2.10905894576411 1.10905894576411
"35" "LSSPA" 21 5.05359936585131 1.1705515674472 1.30145175342119 0.301451753421187
"36" "LSSPA" 28 4.51276926911871 0.947787133627042 1.26586027576161 0.265860275761614
"37" "LSSPA" 23 4.15911534944172 -0.24518195298571 0.944331198338818 -0.0556688016611817
"38" "LSSPA" 30 3.92705499954074 -0.366735498045724 0.914589335867256 -0.0854106641327439
"39" "LSSPA" 37 5.50432053756234 2.18429569332877 1.65791546624194 0.657915466241943
"40" "LSSPA" 39 6.16942681913784 3.34010594520209 2.18053274761862 1.18053274761862
"41" "LSSPA" 50 7.01672121964077 4.67870450431488 3.00114245276589 2.00114245276588
"42" "LSSPA" 42 5.08490044440188 1.37630724260167 1.37111302526618 0.371113025266179
"43" "LSSPA" 47 4.31721500516663 0.488193811545358 1.1274983309987 0.127498330998699
"44" "LSSPA" 45 5.8697418355973 1.86426670384624 1.46542960386107 0.465429603861066
"45" "LSSPA" 44 0 -2.9024037837862 0 -1
"46" "LSSPA" 6 6.12641952696812 4.02666668188909 2.91768602258402 1.91768602258402
"47" "LSSPA" 43 7.00698290392487 3.96904935672778 2.30649643748454 1.30649643748454
"48" "LSSPA" 7 5.55885228323207 3.3354701543866 2.50017853931326 1.50017853931326
"49" "LSSPA" 33 5.00244938879205 2.57950569980319 2.06461644631934 1.06461644631934
"50" "LSSPA" 46 6.26610908994487 3.48900156653038 2.25634370909795 1.25634370909795
"51" "LSSPA" 35 5.23347660345739 2.47608556012567 1.89798128782411 0.897981287824106
"52" "LSSPA" 13 5.87286711502629 3.78660365890178 2.81501700937419 1.81501700937419
"53" "LSSPA" 48 4.03793531404247 1.02232848331038 1.33901252407702 0.339012524077017
"54" "LSSPA" 52 5.19797199236253 0.517577148035618 1.11058407789312 0.110584077893123
"55" "LSSPA" 5 5.96709548946843 3.74391119430315 2.68403096515434 1.68403096515434
"56" "LSSPA" 14 5.70466536318173 2.45598927401035 1.75599696817936 0.75599696817936
"57" "LSSPA" 55 7.4261635477026 5.15355020043633 3.26767576043481 2.26767576043481
"58" "LSSPA" 49 2.37968123803219 -3.06933367042666 0.436717696319396 -0.563282303680605
"59" "LSSPA" 4 4.76575539734034 1.69481302943993 1.55188695403576 0.551886954035761
"60" "LSSPA" 58 2.38967237293472 -2.11945136769129 0.529963804586778 -0.470036195413222
"61" "LSSPA" 26 0 -3.43520541419583 0 -1
"62" "LSSPA" 54 6.20100144923763 3.2373004021706 2.09231678592358 1.09231678592358
"63" "LSSWE" 1 2.92264770356623 -0.0619974354453192 0.978787236186671 -0.0212127638133291
"64" "LSSWE" 2 2.63266981827392 -0.566052453383256 0.784989196345791 -0.215010803654209
"65" "LSSWE" 3 1.87481527239828 1.04401387131965 1.55686226087978 0.556862260879779
"66" "LSSWE" 4 3.07094236790041 1.69481302943993 1.55188695403576 0.551886954035761
"67" "LSSWE" 0 NA NA NA NA
"68" "LSSWE" 5 2.22318429516527 3.74391119430315 2.68403096515434 1.68403096515434
"69" "LSSWE" 6 2.09975284507903 4.02666668188909 2.91768602258402 1.91768602258402
"70" "LSSWE" 7 2.22338212884547 3.3354701543866 2.50017853931326 1.50017853931326
"71" "LSSWE" 8 3.07121343465667 1.17477163643372 1.38251058138037 0.382510581380368
