lg family ind nr_rec
13 3c9 P10854_127_S151 1
13 3c9 P10854_130_S154 1
13 3c9 P10854_131_S155 1
13 3c9 P14461_192_S188 1
13 3c9 P14461_193_S189 1
13 8C P10854_134_S158 1
13 8C P10854_135_S159 1
13 8C P10854_138_S162 1
13 8C P10854_143_S167 1
13 8C P10854_145_S169 1
13 8C P10854_146_S170 1
13 8C P10854_147_S171 1
13 8C P10854_148_S172 1
13 8C P10854_150_S174 1
13 8C P10854_151_S175 1
13 8C P10854_153_S177 1
13 8C P10854_155_S179 1
13 8C P10854_159_S183 1
13 7C P10854_162_S186 1
13 7C P10854_164_S188 1
13 7C P10854_166_S190 1
13 7C P10854_167_S191 1
13 7C P10854_168_S192 1
13 7C P10854_169_S193 1
13 7C P10854_170_S194 1
13 7C P10854_172_S196 1
13 7C P10854_186_S209 1
13 7C P10854_189_S212 1
13 7C P10854_195_S218 1
13 4C P14461_101_S97 1
13 4C P14461_102_S98 1
13 4C P14461_103_S99 1
13 4C P14461_104_S100 1
13 4C P14461_105_S101 1
13 4C P14461_108_S104 2
13 4C P14461_109_S105 1
13 4C P14461_110_S106 1
13 4C P14461_111_S107 1
13 4C P14461_112_S108 2
13 4C P14461_113_S109 1
13 4C P14461_114_S110 1
13 4C P14461_117_S113 1
13 4C P14461_119_S115 1
13 4C P14461_120_S116 1
13 4C P14461_121_S117 1
13 4C P14461_122_S118 1
13 4C P14461_126_S122 1
13 4C P14461_127_S123 2
13 4C P14461_128_S124 1
13 4C P14461_129_S125 2
13 4C P14461_131_S127 1
13 4C P14461_132_S128 2
13 4C P14461_133_S129 1
13 4C P14461_141_S137 1
13 4C P14461_142_S138 2
13 7CB P14461_149_S145 1
13 7CB P14461_151_S147 1
13 7CB P14461_153_S149 1
13 7CB P14461_154_S150 1
13 7CB P14461_155_S151 1
13 7CB P14461_156_S152 1
13 7CB P14461_160_S156 1
13 7CB P14461_163_S159 1
13 9C P14461_165_S161 1
13 9C P14461_169_S165 1
13 9C P14461_171_S167 1
13 9C P14461_173_S169 1
13 9C P14461_174_S170 1
13 9C P14461_176_S172 1
13 9C P14461_179_S175 1
13 9C P14461_180_S176 1
13 9C P14461_182_S178 1
13 9C P14461_183_S179 1
13 9C P14461_186_S182 1
13 9C P14461_187_S183 1
14 3c9 P10854_102_S126 1
14 3c9 P10854_104_S128 1
14 3c9 P10854_116_S140 1
14 3c9 P10854_122_S146 1
14 3c9 P14461_192_S188 1
14 3c9 P14461_194_S190 1
14 3c9 P14461_195_S191 1
14 8C P10854_143_S167 1
14 8C P10854_145_S169 1
14 8C P10854_146_S170 1
14 8C P10854_150_S174 1
14 8C P10854_152_S176 1
14 8C P10854_154_S178 1
14 8C P10854_157_S181 1
14 8C P10854_159_S183 1
14 7C P10854_166_S190 1
14 7C P10854_167_S191 1
14 7C P10854_168_S192 1
14 7C P10854_169_S193 1
14 7C P10854_171_S195 1
14 7C P10854_172_S196 1
14 7C P10854_180_S204 1
14 7C P10854_183_S207 1
14 7C P10854_185_S208 1
14 7C P10854_189_S212 1
14 7C P10854_191_S214 1
14 4C P14461_102_S98 1
14 4C P14461_103_S99 1
14 4C P14461_104_S100 1
14 4C P14461_105_S101 1
14 4C P14461_106_S102 1
14 4C P14461_107_S103 1
14 4C P14461_108_S104 1
14 4C P14461_109_S105 1
14 4C P14461_110_S106 1
14 4C P14461_112_S108 1
14 4C P14461_113_S109 1
14 4C P14461_114_S110 1
14 4C P14461_115_S111 1
14 4C P14461_118_S114 1
14 4C P14461_119_S115 1
14 4C P14461_121_S117 1
14 4C P14461_123_S119 1
14 4C P14461_124_S120 1
14 4C P14461_126_S122 1
14 4C P14461_127_S123 1
14 4C P14461_128_S124 1
14 4C P14461_131_S127 1
14 7CB P14461_145_S141 1
14 7CB P14461_146_S142 1
14 7CB P14461_150_S146 1
14 7CB P14461_151_S147 1
14 7CB P14461_154_S150 1
14 7CB P14461_155_S151 1
14 7CB P14461_158_S154 1
14 7CB P14461_159_S155 1
14 7CB P14461_161_S157 1
14 7CB P14461_163_S159 1
14 9C P14461_167_S163 1
14 9C P14461_168_S164 1
14 9C P14461_169_S165 1
14 9C P14461_170_S166 1
14 9C P14461_171_S167 1
14 9C P14461_173_S169 1
14 9C P14461_175_S171 1
14 9C P14461_176_S172 1
14 9C P14461_177_S173 1
14 9C P14461_178_S174 1
14 9C P14461_180_S176 1
14 9C P14461_182_S178 1
14 9C P14461_185_S181 1
14 9C P14461_186_S182 1
14 9C P14461_188_S184 1
15 3c9 P10854_102_S126 1
15 3c9 P10854_106_S130 1
15 3c9 P10854_108_S132 1
15 3c9 P10854_109_S133 1
15 3c9 P10854_111_S135 1
15 3c9 P10854_112_S136 1
15 3c9 P10854_113_S137 1
15 3c9 P10854_115_S139 1
15 3c9 P10854_117_S141 1
15 3c9 P10854_119_S143 1
15 3c9 P10854_124_S148 1
15 3c9 P10854_129_S153 1
15 3c9 P10854_130_S154 1
15 3c9 P14461_192_S188 1
15 3c9 P14461_193_S189 1
15 3c9 P14461_194_S190 1
15 3c9 P14461_195_S191 1
15 8C P10854_134_S158 1
15 8C P10854_142_S166 1
15 8C P10854_144_S168 1
15 8C P10854_145_S169 1
15 8C P10854_147_S171 1
15 8C P10854_149_S173 1
15 8C P10854_152_S176 1
15 8C P10854_153_S177 1
15 8C P10854_154_S178 1
15 8C P10854_155_S179 1
15 8C P10854_156_S180 1
15 8C P10854_157_S181 1
15 8C P10854_158_S182 1
15 8C P10854_159_S183 1
15 7C P10854_161_S185 1
15 7C P10854_163_S187 1
15 7C P10854_164_S188 1
15 7C P10854_165_S189 1
15 7C P10854_167_S191 1
15 7C P10854_168_S192 1
15 7C P10854_169_S193 1
15 7C P10854_172_S196 1
15 7C P10854_173_S197 1
15 7C P10854_174_S198 1
15 7C P10854_179_S203 1
15 7C P10854_180_S204 1
15 7C P10854_181_S205 1
15 7C P10854_186_S209 1
15 7C P10854_195_S218 1
15 4C P14461_103_S99 1
15 4C P14461_106_S102 1
15 4C P14461_107_S103 1
15 4C P14461_108_S104 1
15 4C P14461_109_S105 1
15 4C P14461_110_S106 1
15 4C P14461_113_S109 1
15 4C P14461_116_S112 1
15 4C P14461_118_S114 1
15 4C P14461_120_S116 1
15 4C P14461_121_S117 1
15 4C P14461_122_S118 1
15 4C P14461_123_S119 1
15 4C P14461_124_S120 1
15 4C P14461_141_S137 1
15 4C P14461_142_S138 1
15 7CB P14461_144_S140 1
15 7CB P14461_146_S142 1
15 7CB P14461_148_S144 1
15 7CB P14461_149_S145 1
15 7CB P14461_152_S148 1
15 7CB P14461_154_S150 1
15 7CB P14461_155_S151 1
15 7CB P14461_158_S154 1
15 7CB P14461_159_S155 1
15 7CB P14461_160_S156 1
15 7CB P14461_163_S159 1
15 9C P14461_165_S161 1
15 9C P14461_166_S162 1
15 9C P14461_168_S164 1
15 9C P14461_171_S167 1
15 9C P14461_174_S170 1
15 9C P14461_175_S171 1
15 9C P14461_180_S176 1
15 9C P14461_183_S179 1
15 9C P14461_184_S180 1
15 9C P14461_185_S181 1
15 9C P14461_188_S184 1
16 3c9 P10854_105_S129 1
16 3c9 P10854_108_S132 1
16 3c9 P10854_110_S134 1
16 3c9 P10854_111_S135 1
16 3c9 P10854_119_S143 1
16 3c9 P10854_120_S144 1
16 3c9 P10854_122_S146 1
16 3c9 P10854_126_S150 1
16 3c9 P10854_127_S151 1
16 3c9 P10854_129_S153 1
16 3c9 P10854_130_S154 1
16 3c9 P14461_190_S186 1
16 3c9 P14461_191_S187 1
16 8C P10854_133_S157 1
16 8C P10854_135_S159 1
16 8C P10854_139_S163 1
16 8C P10854_149_S173 1
16 8C P10854_154_S178 1
16 8C P10854_155_S179 1
16 8C P10854_157_S181 1
16 8C P10854_159_S183 1
16 7C P10854_164_S188 1
16 7C P10854_165_S189 1
16 7C P10854_168_S192 1
16 7C P10854_170_S194 1
16 7C P10854_173_S197 1
16 7C P10854_174_S198 1
16 7C P10854_177_S201 1
16 7C P10854_182_S206 1
16 7C P10854_183_S207 1
16 7C P10854_185_S208 1
16 7C P10854_192_S215 1
16 7C P10854_193_S216 1
16 7C P10854_194_S217 1
16 4C P14461_103_S99 1
16 4C P14461_105_S101 1
16 4C P14461_107_S103 1
16 4C P14461_108_S104 1
16 4C P14461_109_S105 1
16 4C P14461_111_S107 1
16 4C P14461_115_S111 1
16 4C P14461_119_S115 1
16 4C P14461_120_S116 1
16 4C P14461_121_S117 1
16 4C P14461_122_S118 1
16 4C P14461_124_S120 1
16 4C P14461_125_S121 1
16 4C P14461_128_S124 1
16 4C P14461_130_S126 1
16 4C P14461_141_S137 1
16 4C P14461_142_S138 1
16 7CB P14461_146_S142 1
16 7CB P14461_147_S143 1
16 7CB P14461_152_S148 1
16 7CB P14461_153_S149 1
16 7CB P14461_155_S151 1
16 7CB P14461_156_S152 1
16 7CB P14461_157_S153 1
16 7CB P14461_159_S155 1
16 7CB P14461_162_S158 1
16 7CB P14461_163_S159 1
16 9C P14461_166_S162 1
16 9C P14461_167_S163 1
16 9C P14461_172_S168 1
16 9C P14461_173_S169 1
16 9C P14461_179_S175 1
16 9C P14461_184_S180 1
16 9C P14461_185_S181 1
16 9C P14461_187_S183 1
16 9C P14461_188_S184 1
17 3c9 P10854_101_S125 1
17 3c9 P10854_104_S128 1
17 3c9 P10854_105_S129 1
17 3c9 P10854_107_S131 1
17 3c9 P10854_108_S132 1
17 3c9 P10854_111_S135 1
17 3c9 P10854_112_S136 1
17 3c9 P10854_113_S137 1
17 3c9 P10854_114_S138 1
17 3c9 P10854_115_S139 1
17 3c9 P10854_116_S140 1
17 3c9 P10854_118_S142 1
17 3c9 P10854_125_S149 1
17 3c9 P10854_128_S152 1
17 3c9 P10854_130_S154 1
17 3c9 P14461_191_S187 1
17 3c9 P14461_192_S188 1
17 3c9 P14461_195_S191 1
17 8C P10854_134_S158 1
17 8C P10854_136_S160 1
17 8C P10854_139_S163 1
17 8C P10854_141_S165 1
17 8C P10854_143_S167 1
17 8C P10854_147_S171 1
17 8C P10854_148_S172 1
17 8C P10854_150_S174 1
17 8C P10854_151_S175 1
17 8C P10854_152_S176 1
17 8C P10854_153_S177 1
17 8C P10854_156_S180 1
17 8C P10854_157_S181 1
17 7C P10854_161_S185 1
17 7C P10854_164_S188 1
17 7C P10854_166_S190 1
17 7C P10854_167_S191 1
17 7C P10854_170_S194 1
17 7C P10854_175_S199 1
17 7C P10854_176_S200 1
17 7C P10854_179_S203 1
17 7C P10854_181_S205 1
17 7C P10854_183_S207 1
17 7C P10854_185_S208 1
17 7C P10854_189_S212 1
17 7C P10854_191_S214 1
17 7C P10854_194_S217 1
17 7C P10854_195_S218 1
17 4C P14461_103_S99 1
17 4C P14461_110_S106 1
17 4C P14461_112_S108 1
17 4C P14461_115_S111 1
17 4C P14461_120_S116 1
17 4C P14461_121_S117 1
17 4C P14461_124_S120 1
17 4C P14461_125_S121 1
17 4C P14461_126_S122 1
17 4C P14461_127_S123 1
17 4C P14461_129_S125 1
17 4C P14461_132_S128 1
17 7CB P14461_144_S140 1
17 7CB P14461_145_S141 1
17 7CB P14461_146_S142 1
17 7CB P14461_147_S143 1
17 7CB P14461_149_S145 1
17 7CB P14461_161_S157 1
17 7CB P14461_163_S159 1
17 9C P14461_166_S162 1
17 9C P14461_169_S165 1
17 9C P14461_171_S167 1
17 9C P14461_172_S168 1
17 9C P14461_173_S169 1
17 9C P14461_174_S170 1
17 9C P14461_177_S173 1
17 9C P14461_178_S174 1
17 9C P14461_179_S175 1
17 9C P14461_186_S182 1
17 9C P14461_188_S184 1
18 3c9 P10854_102_S126 1
18 3c9 P10854_105_S129 1
18 3c9 P10854_106_S130 1
18 3c9 P10854_108_S132 1
18 3c9 P10854_109_S133 1
18 3c9 P10854_111_S135 1
18 3c9 P10854_117_S141 1
18 3c9 P10854_118_S142 1
18 3c9 P10854_119_S143 1
18 3c9 P10854_120_S144 1
18 3c9 P10854_121_S145 1
18 3c9 P10854_125_S149 1
18 3c9 P10854_126_S150 1
18 3c9 P14461_192_S188 1
18 3c9 P14461_193_S189 1
18 3c9 P14461_195_S191 1
18 8C P10854_133_S157 1
18 8C P10854_134_S158 1
18 8C P10854_139_S163 1
18 8C P10854_141_S165 1
18 8C P10854_142_S166 1
18 8C P10854_145_S169 1
18 8C P10854_151_S175 1
18 8C P10854_157_S181 1
18 8C P10854_159_S183 1
18 7C P10854_164_S188 1
18 7C P10854_174_S198 1
18 7C P10854_181_S205 1
18 7C P10854_186_S209 1
18 7C P10854_188_S211 1
18 4C P14461_101_S97 1
18 4C P14461_102_S98 1
18 4C P14461_104_S100 1
18 4C P14461_107_S103 1
18 4C P14461_109_S105 1
18 4C P14461_110_S106 1
18 4C P14461_113_S109 1
18 4C P14461_116_S112 1
18 4C P14461_118_S114 1
18 4C P14461_120_S116 1
18 4C P14461_121_S117 1
18 4C P14461_124_S120 1
18 4C P14461_125_S121 1
18 4C P14461_127_S123 1
18 4C P14461_128_S124 1
18 4C P14461_131_S127 1
18 7CB P14461_145_S141 1
18 7CB P14461_148_S144 1
18 7CB P14461_152_S148 1
18 7CB P14461_155_S151 1
18 7CB P14461_158_S154 1
18 7CB P14461_160_S156 1
18 9C P14461_165_S161 1
18 9C P14461_167_S163 1
18 9C P14461_168_S164 1
18 9C P14461_169_S165 1
18 9C P14461_170_S166 1
18 9C P14461_171_S167 1
18 9C P14461_178_S174 1
18 9C P14461_179_S175 1
18 9C P14461_187_S183 1
19 3c9 P10854_105_S129 1
19 3c9 P10854_107_S131 1
19 3c9 P10854_121_S145 1
19 3c9 P10854_123_S147 1
19 8C P10854_135_S159 1
19 8C P10854_138_S162 1
19 8C P10854_139_S163 1
19 8C P10854_140_S164 1
19 8C P10854_141_S165 1
19 8C P10854_142_S166 1
19 8C P10854_143_S167 1
19 8C P10854_144_S168 1
19 8C P10854_147_S171 1
19 8C P10854_152_S176 1
19 8C P10854_153_S177 1
19 8C P10854_154_S178 1
19 7C P10854_161_S185 1
19 7C P10854_162_S186 1
19 7C P10854_164_S188 1
19 7C P10854_166_S190 1
19 7C P10854_168_S192 1
19 7C P10854_171_S195 1
19 7C P10854_175_S199 1
19 7C P10854_176_S200 1
19 7C P10854_180_S204 1
19 7C P10854_181_S205 1
19 7C P10854_186_S209 1
19 7C P10854_187_S210 1
19 7C P10854_190_S213 1
19 7C P10854_195_S218 1
19 4C P14461_102_S98 1
19 4C P14461_103_S99 1
19 4C P14461_105_S101 1
19 4C P14461_106_S102 1
19 4C P14461_108_S104 1
19 4C P14461_114_S110 1
19 4C P14461_116_S112 1
19 4C P14461_117_S113 1
19 4C P14461_118_S114 1
19 4C P14461_120_S116 1
19 4C P14461_121_S117 1
19 4C P14461_122_S118 1
19 4C P14461_124_S120 1
19 4C P14461_129_S125 1
19 4C P14461_131_S127 1
19 4C P14461_142_S138 1
19 7CB P14461_145_S141 1
19 7CB P14461_152_S148 1
19 7CB P14461_155_S151 1
19 9C P14461_167_S163 1
19 9C P14461_168_S164 1
19 9C P14461_170_S166 1
19 9C P14461_171_S167 1
19 9C P14461_172_S168 1
19 9C P14461_174_S170 1
19 9C P14461_176_S172 1
19 9C P14461_178_S174 1
19 9C P14461_180_S176 1
19 9C P14461_184_S180 1
19 9C P14461_186_S182 1
19 9C P14461_187_S183 1
20 3c9 P10854_101_S125 1
20 3c9 P10854_102_S126 1
20 3c9 P10854_103_S127 1
20 3c9 P10854_104_S128 1
20 3c9 P10854_108_S132 1
20 3c9 P10854_109_S133 1
20 3c9 P10854_111_S135 1
20 3c9 P10854_114_S138 1
20 3c9 P10854_118_S142 1
20 3c9 P10854_119_S143 1
20 3c9 P10854_120_S144 1
